IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CPCM,CRAIGMYLE AGCM,71013,3021912,51.775000,-112.252223,845.000,GovAB,CA,AUTO,Alberta
CPCN,CAPPON,,3021200,51.066947,-110.796689,758.000,GovAB,CA,AUTO,Alberta
CPCR,GLENWOOD,71885,3032818,49.334444,-113.524444,1074.000,GovAB,CA,AUTO,Alberta
CPCS,CLEAR HILLS AGCM,,3071661,56.528905,-117.933352,672.000,GovAB,CA,AUTO,Alberta
CPCY,CARWAY,71488,3031402,48.999600,-113.379100,1354.000,MSC,CA,AUTO,Alberta
CPDA,DELBURNE AGCM,71014,3012050,52.182779,-113.175557,889.000,GovAB,CA,AUTO,Alberta
CPDB,DEWBERRY AGCM,71359,3012073,53.659169,-110.587502,616.000,GovAB,CA,AUTO,Alberta
CPDO,DEADWOOD AGCM AB,,3071957,56.715289,-117.543350,551.000,GovAB,CA,AUTO,Alberta
CPDU,DUPRE AGCM,71414,3081690,54.366946,-110.867779,556.000,GovAB,CA,AUTO,Alberta
CPEA,EDGERTON AGCM,71360,3012192,52.777778,-110.432778,649.000,GovAB,CA,AUTO,Alberta
CPEH,ENCHANT AGDM,71518,3032422,50.183333,-112.433333,801.000,GovAB,CA,AUTO,Alberta
CPEL,EAGLESHAM AGCM,71461,3072151,55.808056,-117.886667,563.000,GovAB,CA,AUTO,Alberta
CPET,ETZICOM AGCM,71409,3032450,49.552778,-111.054169,845.000,GovAB,CA,AUTO,Alberta
CPFA,FERINTOSH AGCM,71673,3012590,52.743614,-112.857780,795.000,GovAB,CA,AUTO,Alberta
CPFB,FORT ASSINIBOINE AGCM,71483,3062660,54.410279,-114.769168,676.000,GovAB,CA,AUTO,Alberta
CPFE,FLEET AGCM,,3012635,52.040836,-111.813058,823.000,GovAB,CA,AUTO,Alberta
CPFF,FINNEGAN AGCM,,3022650,51.053190,-112.097370,748.000,GovAB,CA,AUTO,Alberta
CPFI,FINCASTLE AGDM,71535,3032550,49.800000,-112.033333,833.000,GovAB,CA,AUTO,Alberta
CPFM,FORT MACLEOD AGCM,71789,3032683,49.785833,-113.379447,978.000,GovAB,CA,AUTO,Alberta
CPFO,FORESTBURG AGCM,71674,3012653,52.548335,-112.123334,721.000,GovAB,CA,AUTO,Alberta
CPFR,ST. FRANCIS,,3012799,53.294731,-114.320011,809.000,GovAB,CA,AUTO,Alberta
CPGB,GOOSEBERRY LAKE AGCM,,3012871,52.113056,-110.802500,740.000,GovAB,CA,AUTO,Alberta
CPGC,GLENEVIS AGCM,71500,3012818,53.832502,-114.538890,670.000,GovAB,CA,AUTO,Alberta
CPGE,GILT EDGE NORTH AGCM,71791,3012790,53.070835,-110.620836,647.000,GovAB,CA,AUTO,Alberta
CPGF,GREAT FALLS CLIMATE,71570,5031201,50.458930,-96.010600,254.500,MSC,CA,AUTO,Manitoba
CPGH,GIMLI CLIMATE,71748,5031042,50.633300,-97.050000,230.100,MSC,CA,AUTO,Manitoba
CPGI,GLEICHEN AGCM,71498,3032801,50.934446,-112.940558,907.000,GovAB,CA,AUTO,Alberta
CPGL,GRASSY LAKE,71788,3032927,49.873611,-111.732778,783.000,GovAB,CA,AUTO,Alberta
CPGT,GLADSTONE AGCM,,3012810,52.987248,-112.278082,704.000,GovAB,CA,AUTO,Alberta
CPHA,HALKIRK AGCM,71792,3012999,52.116391,-112.164167,843.000,GovAB,CA,AUTO,Alberta
CPHE,HEMARUKA AGCM,71793,3013140,51.779724,-111.211946,780.000,GovAB,CA,AUTO,Alberta
CPHR,HESPERO AGCM,71540,3023200,52.310002,-114.485834,965.000,GovAB,CA,AUTO,Alberta
CPHU,HUGHENDEN AGCM,71794,3013362,52.578058,-110.783612,703.000,GovAB,CA,AUTO,Alberta
CPHW,HAWK HILLS AGCM,71507,3073071,57.264723,-117.297503,455.000,GovAB,CA,AUTO,Alberta
CPIA,IRVINE AGCM,71795,3033550,49.989169,-110.261391,795.000,GovAB,CA,AUTO,Alberta
CPIF,ISLAND FALLS (AUT),71331,4063605,55.533300,-102.350000,297.400,MSC,CA,AUTO,Saskatchewan
CPII,ISLAND LAKE SOUTH,71654,3063600,54.816833,-113.560000,619.700,MSC,CA,AUTO,Alberta
CPIL,LOON LAKE RCS,71273,4064620,54.019700,-109.138300,545.600,MSC,CA,AUTO,Saskatchewan
CPIR,IRON SPRINGS AGDM,71528,3033498,49.900000,-112.733333,858.000,GovAB,CA,AUTO,Alberta
CPJM,ESTEVAN RCS,71559,4012410,49.205370,-102.967080,580.600,MSC,CA,AUTO,Saskatchewan
CPJP,CROSS LAKE JENPEG 2,71106,5060622,54.539722,-98.030278,221.000,MSC,CA,AUTO,Manitoba
CPJT,JEAN COTE AGCM,71541,3073535,55.912779,-117.119724,638.000,GovAB,CA,AUTO,Alberta
CPKA,KESSLER AGCM,71796,3013644,52.290278,-111.113057,720.000,GovAB,CA,AUTO,Alberta
CPKG,KEG RIVER AGCM,,3073644,57.787500,-117.676667,408.000,GovAB,CA,AUTO,Alberta
CPKI,KITSCOTY AGCM,71797,3013660,53.353335,-110.416112,664.000,GovAB,CA,AUTO,Alberta
CPKK,KINIKINIK,,3063640,54.563075,-112.981117,629.000,GovAB,CA,AUTO,Alberta
CPKO,KEOMA AGCM,,3033620,51.190560,-113.630560,945.000,GovAB,CA,AUTO,Alberta
CPKR,KINSELLA RESEARC STATION,,3013647,53.046944,-111.547500,701.000,GovAB,CA,AUTO,Alberta
CPKY,ROCKY LANE AGCM,,3075550,58.451683,-116.480560,301.000,GovAB,CA,AUTO,Alberta
CPLA,LINDEN AGCM,71035,3023850,51.618891,-113.655558,914.000,GovAB,CA,AUTO,Alberta
CPLC,LA CRETE AGCM,71542,3073730,58.171947,-116.342778,323.000,GovAB,CA,AUTO,Alberta
CPLE,LYNN LAKE RCS,71632,5061649,56.861800,-101.068100,355.700,MSC,CA,AUTO,Manitoba
CPLF,LEGAL AGCM,71544,3013790,54.003056,-113.474445,680.000,GovAB,CA,AUTO,Alberta
CPLG,LA GLACE AGCM,71543,3073740,55.421945,-119.254723,760.000,GovAB,CA,AUTO,Alberta
CPLS,KEY LAKE,71033,4063753,57.250000,-105.600000,513.900,MSC,CA,AUTO,Saskatchewan
CPLY,ISPAS,,3065712,53.851389,-111.835283,655.000,GovAB,CA,AUTO,Alberta
CPLZ,LODGE CREEK,,3023900,49.457710,-110.341200,1068.000,GovAB,CA,AUTO,Alberta
CPMA,MANNVILLE AGCM,71047,3014195,53.455557,-111.255280,656.000,GovAB,CA,AUTO,Alberta
CPMB,MANYBERRIES AGCM,71051,3044203,49.363889,-110.678057,927.000,GovAB,CA,AUTO,Alberta
CPMK,MANKOTA,71204,4034910,49.100000,-107.016700,830.000,MSC,CA,AUTO,Saskatchewan
CPML,MOSSLEIGH AGCM,71057,3034577,50.672501,-113.348613,965.000,GovAB,CA,AUTO,Alberta
CPMN,MYRNAM AGCM,71065,3014690,53.720002,-111.114446,580.000,GovAB,CA,AUTO,Alberta
CPMR,ST. MARY RESERVOIR,71837,3056100,49.361389,-113.110000,1128.000,GovAB,CA,AUTO,Alberta
CPNB,EVANSBURG2 AGCM,71481,3062476,53.613889,-115.062247,785.000,GovAB,CA,AUTO,Alberta
CPNS,NEW SEREPTA AGCM,71067,3014795,53.262225,-113.165002,765.000,GovAB,CA,AUTO,Alberta
CPNU,SUNNYNOOK AGCM,,3026264,51.300836,-111.388064,775.000,GovAB,CA,AUTO,Alberta
CPNX,RANFURLY AUTO,71637,3015401,53.424900,-111.725700,688.000,MSC,CA,AUTO,Alberta
CPOX,SASKATOON RCS,71496,4057165,52.173600,-106.718900,504.100,MSC,CA,AUTO,Saskatchewan
CPOY,CYPRESS RIVER RCS,71239,5010641,49.562200,-99.073900,375.500,MSC,CA,AUTO,Manitoba
CPPL,PAKOWKI LAKE AGCM,71070,3045000,49.224724,-111.126113,915.000,GovAB,CA,AUTO,Alberta
CPPN,SOCIAL PLAINS AGCM,,3036040,50.732000,-110.214700,741.000,GovAB,CA,AUTO,Alberta
CPPR,PRINCE ALBERT GLASS FIELD,73002,4056243,53.210241,-105.676677,425.450,MSC,CA,AUTO,Saskatchewan
CPPT,PATRICIA AGCM,,3025013,50.740020,-111.621000,726.000,GovAB,CA,AUTO,Alberta
CPPV,PLEASANT VIEW,,3065200,54.963894,-113.320578,649.000,GovAB,CA,AUTO,Alberta
CPQD,THE PAS CLIMATE,71695,5052890,53.974588,-101.088833,275.500,MSC,CA,AUTO,Manitoba
CPQL,LETHBRIDGE DEMO FARM AGDM,71509,3033897,49.683333,-112.750000,903.000,GovAB,CA,AUTO,Alberta
CPQU,QUEENSTOWN,71073,3035342,50.597781,-112.803347,941.000,GovAB,CA,AUTO,Alberta
CPQW,NORTH BATTLEFORD RCS,71754,4045607,52.769275,-108.250369,524.000,MSC,CA,AUTO,Saskatchewan
CPRA,RIVERCOURSE AGCM,71102,3015501,53.018890,-110.101945,669.000,GovAB,CA,AUTO,Alberta
CPRD,PRIDDIS OBSERVATORY,,3033505,50.869167,-114.291667,1267.000,GovAB,CA,AUTO,Alberta
CPRE,RAINIER AGCM,,3035355,50.366667,-112.116667,765.000,GovAB,CA,AUTO,Alberta
CPRF,RYCROFT AGCM,71546,3075601,55.776668,-118.668056,575.000,GovAB,CA,AUTO,Alberta
CPRH,ROLLING HILLS AGCM,71105,3035530,50.265002,-111.701111,645.000,GovAB,CA,AUTO,Alberta
CPRJ,YORKTON RCS,71886,4019073,51.260108,-102.461547,498.400,MSC,CA,AUTO,Saskatchewan
CPRL,ROSALIND AGCM,71202,3015600,52.780280,-112.427779,712.000,GovAB,CA,AUTO,Alberta
CPRO,ROSEMARY AGDM,71537,3035650,50.833333,-112.050000,714.000,GovAB,CA,AUTO,Alberta
CPRR,MILK RIVER RIDGE RESERVOIR,71015,3044545,49.283889,-112.538333,1305.000,GovAB,CA,AUTO,Alberta
CPRS,RIBSTONE SOUTH AGCM,71089,3015480,52.586945,-110.342779,644.000,GovAB,CA,AUTO,Alberta
CPRW,RADWAY AGCM,71545,3015346,53.995001,-112.879167,625.000,GovAB,CA,AUTO,Alberta
CPRY,RAYMOND AGDM,71536,3035422,49.483333,-112.683333,937.000,GovAB,CA,AUTO,Alberta
CPSA,SEDALIA AGCM,71399,3015797,51.590280,-110.754723,755.000,GovAB,CA,AUTO,Alberta
CPSD,STANDARD AGCM,71440,3036086,51.228335,-112.981946,901.000,GovAB,CA,AUTO,Alberta
CPSH,SHONTS AGCM,71405,3015900,53.332500,-112.539446,679.000,GovAB,CA,AUTO,Alberta
CPSL,ST. LINA AGCM,71548,3015673,54.282223,-111.453057,619.000,GovAB,CA,AUTO,Alberta
CPSP,SPONDIN AGCM,71413,3016070,51.815836,-111.682501,804.000,GovAB,CA,AUTO,Alberta
CPSQ,SWEETGRASS LANDING,,3076330,58.852889,-111.997000,212.000,MSC,CA,AUTO,Alberta
CPSR,ST. ALBERT RESEARCH STATION,,3025750,53.691944,-113.619722,687.000,GovAB,CA,AUTO,Alberta
CPST,STRATHMORE AGDM,71526,3036205,51.033333,-113.283333,967.000,GovAB,CA,AUTO,Alberta
CPSU,SIOUX FALLS CLIMATE,71168,9052008,43.733530,-96.623436,483.020,MSC,CA,AUTO,
CPSV,SEVEN PERSONS AGDM,71525,3035845,49.916667,-110.916667,766.000,GovAB,CA,AUTO,Alberta
CPSW,SAVANNA AGCM,71547,3075770,56.076112,-119.344724,703.000,GovAB,CA,AUTO,Alberta
CPTA,TAWATINAW AGCM,71549,3066367,54.299725,-113.520278,611.000,GovAB,CA,AUTO,Alberta
CPTC,TEEPEE CREEK AGCM,71690,3076366,55.352224,-118.407501,670.000,GovAB,CA,AUTO,Alberta
CPTE,TIDE LAKE AGCM,,3036485,50.455570,-111.321400,766.000,GovAB,CA,AUTO,Alberta
CPTG,KLEEFELD (MAFRI),71646,5021500,49.534727,-96.914719,248.000,MSC,CA,AUTO,Manitoba
CPTH,THORSBY AGCM,71504,3016441,53.217224,-113.894724,754.000,GovAB,CA,AUTO,Alberta
CPTR,TRAVERS AGCM,71848,3036500,50.303613,-112.862502,955.000,GovAB,CA,AUTO,Alberta
CPTU,TULLIBY LAKE AGCM,71857,3016593,53.664169,-110.080835,596.000,GovAB,CA,AUTO,Alberta
